DISTRICT,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,REGION
"'001902","ANDERSON","'001","N","N","CAYUGA ISD","'07"
"'001903","ANDERSON","'001","N","N","ELKHART ISD","'07"
"'001904","ANDERSON","'001","N","N","FRANKSTON ISD","'07"
"'001906","ANDERSON","'001","N","N","NECHES ISD","'07"
"'001907","ANDERSON","'001","N","N","PALESTINE ISD","'07"
"'001908","ANDERSON","'001","N","N","WESTWOOD ISD","'07"
"'001909","ANDERSON","'001","N","N","SLOCUM ISD","'07"
"'002901","ANDREWS","'002","N","N","ANDREWS ISD","'18"
"'003801","ANGELINA","'003","N","Y","PINEYWOODS COMMUNITY ACADEMY","'07"
"'003902","ANGELINA","'003","N","N","HUDSON ISD","'07"
"'003903","ANGELINA","'003","N","N","LUFKIN ISD","'07"
"'003904","ANGELINA","'003","N","N","HUNTINGTON ISD","'07"
"'003905","ANGELINA","'003","N","N","DIBOLL ISD","'07"
"'003906","ANGELINA","'003","N","N","ZAVALLA ISD","'07"
"'003907","ANGELINA","'003","N","N","CENTRAL ISD","'07"
"'004901","ARANSAS","'004","N","N","ARANSAS COUNTY ISD","'02"
"'005901","ARCHER","'005","N","N","ARCHER CITY ISD","'09"
"'005902","ARCHER","'005","N","N","HOLLIDAY ISD","'09"
"'005904","ARCHER","'005","N","N","WINDTHORST ISD","'09"
"'006902","ARMSTRONG","'006","N","N","CLAUDE ISD","'16"
"'007901","ATASCOSA","'007","N","N","CHARLOTTE ISD","'20"
"'007902","ATASCOSA","'007","N","N","JOURDANTON ISD","'20"
"'007904","ATASCOSA","'007","N","N","LYTLE ISD","'20"
"'007905","ATASCOSA","'007","N","N","PLEASANTON ISD","'20"
"'007906","ATASCOSA","'007","N","N","POTEET ISD","'20"
"'008901","AUSTIN","'008","N","N","BELLVILLE ISD","'06"
"'008902","AUSTIN","'008","N","N","SEALY ISD","'06"
"'008903","AUSTIN","'008","N","N","BRAZOS ISD","'06"
"'009901","BAILEY","'009","N","N","MULESHOE ISD","'17"
"'010901","BANDERA","'010","N","N","MEDINA ISD","'20"
"'010902","BANDERA","'010","N","N","BANDERA ISD","'20"
"'011901","BASTROP","'011","N","N","BASTROP ISD","'13"
"'011902","BASTROP","'011","N","N","ELGIN ISD","'13"
"'011904","BASTROP","'011","N","N","SMITHVILLE ISD","'13"
"'011905","BASTROP","'011","N","N","MCDADE ISD","'13"
"'012901","BAYLOR","'012","N","N","SEYMOUR ISD","'09"
"'013801","BEE","'013","N","Y","ST MARY'S ACADEMY CHARTER SCHOOL","'02"
"'013901","BEE","'013","N","N","BEEVILLE ISD","'02"
"'013902","BEE","'013","N","N","PAWNEE ISD","'02"
"'013903","BEE","'013","N","N","PETTUS ISD","'02"
"'013905","BEE","'013","N","N","SKIDMORE-TYNAN ISD","'02"
"'014801","BELL","'014","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","'20"
"'014803","BELL","'014","N","Y","PRIORITY CHARTER SCHOOLS","'12"
"'014804","BELL","'014","N","Y","ORENDA CHARTER SCHOOL","'12"
"'014901","BELL","'014","N","N","ACADEMY ISD","'12"
"'014902","BELL","'014","N","N","BARTLETT ISD","'13"
"'014903","BELL","'014","N","N","BELTON ISD","'12"
"'014905","BELL","'014","N","N","HOLLAND ISD","'12"
"'014906","BELL","'014","N","N","KILLEEN ISD","'12"
"'014907","BELL","'014","N","N","ROGERS ISD","'12"
"'014908","BELL","'014","N","N","SALADO ISD","'12"
"'014909","BELL","'014","N","N","TEMPLE ISD","'12"
"'014910","BELL","'014","N","N","TROY ISD","'12"
"'015801","BEXAR","'015","Y","Y","POR VIDA ACADEMY","'20"
"'015802","BEXAR","'015","N","Y","GEORGE GERVIN ACADEMY","'20"
"'015805","BEXAR","'015","N","Y","NEW FRONTIERS PUBLIC SCHOOLS INC","'20"
"'015806","BEXAR","'015","N","Y","SCHOOL OF EXCELLENCE IN EDUCATION","'20"
"'015807","BEXAR","'015","N","Y","SOUTHWEST PREPARATORY SCHOOL","'20"
"'015808","BEXAR","'015","N","Y","INSPIRE ACADEMIES","'20"
"'015809","BEXAR","'015","N","Y","BEXAR COUNTY ACADEMY","'20"
"'015814","BEXAR","'015","Y","Y","POSITIVE SOLUTIONS CHARTER SCHOOL","'20"
"'015815","BEXAR","'015","N","Y","HERITAGE ACADEMY","'20"
"'015822","BEXAR","'015","N","Y","JUBILEE ACADEMIES","'20"
"'015825","BEXAR","'015","N","Y","LIGHTHOUSE PUBLIC SCHOOLS","'20"
"'015827","BEXAR","'015","N","Y","SCHOOL OF SCIENCE AND TECHNOLOGY","'20"
"'015828","BEXAR","'015","N","Y","HARMONY SCIENCE ACAD (SAN ANTONIO)","'20"
"'015830","BEXAR","'015","N","Y","BROOKS ACADEMIES OF TEXAS","'20"
"'015831","BEXAR","'015","N","Y","SCHOOL OF SCIENCE AND TECHNOLOGY D","'20"
"'015833","BEXAR","'015","N","Y","HENRY FORD ACADEMY ALAMEDA SCHOOL","'20"
"'015834","BEXAR","'015","N","Y","BASIS TEXAS","'20"
"'015835","BEXAR","'015","N","Y","GREAT HEARTS TEXAS","'20"
"'015836","BEXAR","'015","N","Y","ELEANOR KOLITZ HEBREW LANGUAGE ACA","'20"
"'015838","BEXAR","'015","N","Y","COMPASS ROSE ACADEMY","'20"
"'015839","BEXAR","'015","N","Y","PROMESA ACADEMY CHARTER SCHOOL","'20"
"'015840","BEXAR","'015","N","Y","SAN ANTONIO PREPARATORY CHARTER SC","'20"
"'015841","BEXAR","'015","N","Y","THE GATHERING PLACE","'20"
"'015901","BEXAR","'015","N","N","ALAMO HEIGHTS ISD","'20"
"'015904","BEXAR","'015","N","N","HARLANDALE ISD","'20"
"'015905","BEXAR","'015","N","N","EDGEWOOD ISD","'20"
"'015906","BEXAR","'015","N","N","RANDOLPH FIELD ISD","'20"
"'015907","BEXAR","'015","N","N","SAN ANTONIO ISD","'20"
